Categoria: Todas as categorias

Região,"B3: (29/10/2025, 08:18 – 05/11/2025, 08:18)","Renda fixa: (29/10/2025, 08:18 – 05/11/2025, 08:18)","Criptomoeda: (29/10/2025, 08:18 – 05/11/2025, 08:18)"
Distrito Federal,55%,16%,29%
São Paulo,54%,15%,31%
Rio Grande do Sul,50%,17%,33%
Rio de Janeiro,51%,15%,34%
Santa Catarina,48%,16%,36%
Minas Gerais,50%,15%,35%
Paraná,47%,17%,36%
Rondônia,48%,14%,38%
Mato Grosso,46%,13%,41%
Espírito Santo,44%,15%,41%
Tocantins,51%,9%,40%
Mato Grosso do Sul,46%,15%,39%
Rio Grande do Norte,49%,14%,37%
Goiás,45%,13%,42%
Paraíba,47%,13%,40%
Pernambuco,47%,14%,39%
Roraima,56%,,44%
Ceará,46%,16%,38%
Piauí,51%,14%,35%
Sergipe,45%,14%,41%
Bahia,40%,14%,46%
Alagoas,47%,13%,40%
Pará,39%,16%,45%
Maranhão,40%,16%,44%
Amazonas,37%,15%,48%
Acre,28%,9%,63%
Amapá,43%,,57%
