Categoria: Todas as categorias

Tempo,B3: (Brasil),Renda fixa: (Brasil),Criptomoeda: (Brasil)
2025-10-29T08,7,3,10
2025-10-29T09,9,3,4
2025-10-29T10,13,4,4
2025-10-29T11,13,4,5
2025-10-29T12,10,3,5
2025-10-29T13,13,3,4
2025-10-29T14,14,4,4
2025-10-29T15,14,4,5
2025-10-29T16,14,4,5
2025-10-29T17,14,3,5
2025-10-29T18,10,2,4
2025-10-29T19,6,2,4
2025-10-29T20,7,2,4
2025-10-29T21,5,2,5
2025-10-29T22,5,1,4
2025-10-29T23,4,1,4
2025-10-30T00,4,2,6
2025-10-30T01,6,1,7
2025-10-30T02,3,0,11
2025-10-30T03,6,0,6
2025-10-30T04,3,0,5
2025-10-30T05,4,0,5
2025-10-30T06,4,2,4
2025-10-30T07,5,2,4
2025-10-30T08,8,2,5
2025-10-30T09,10,3,5
2025-10-30T10,13,4,6
2025-10-30T11,13,4,5
2025-10-30T12,11,3,6
2025-10-30T13,10,3,5
2025-10-30T14,11,3,6
2025-10-30T15,11,4,6
2025-10-30T16,11,4,6
2025-10-30T17,13,3,6
2025-10-30T18,9,3,5
2025-10-30T19,7,2,5
2025-10-30T20,5,2,5
2025-10-30T21,5,1,5
2025-10-30T22,4,1,4
2025-10-30T23,3,1,4
2025-10-31T00,5,2,7
2025-10-31T01,4,1,9
2025-10-31T02,5,2,8
2025-10-31T03,4,4,10
2025-10-31T04,0,0,8
2025-10-31T05,3,2,5
2025-10-31T06,5,2,4
2025-10-31T07,6,2,5
2025-10-31T08,8,3,5
2025-10-31T09,9,3,4
2025-10-31T10,14,4,5
2025-10-31T11,13,4,5
2025-10-31T12,11,3,5
2025-10-31T13,11,3,5
2025-10-31T14,10,3,4
2025-10-31T15,11,3,5
2025-10-31T16,12,3,5
2025-10-31T17,13,2,5
2025-10-31T18,10,2,5
2025-10-31T19,6,2,5
2025-10-31T20,6,2,4
2025-10-31T21,5,1,6
2025-10-31T22,4,2,5
2025-10-31T23,4,1,6
2025-11-01T00,4,1,5
2025-11-01T01,3,1,7
2025-11-01T02,2,0,7
2025-11-01T03,3,0,7
2025-11-01T04,3,0,7
2025-11-01T05,2,0,7
2025-11-01T06,5,2,5
2025-11-01T07,5,2,6
2025-11-01T08,5,2,5
2025-11-01T09,5,1,5
2025-11-01T10,5,2,4
2025-11-01T11,5,2,5
2025-11-01T12,4,2,4
2025-11-01T13,4,2,4
2025-11-01T14,4,2,4
2025-11-01T15,4,2,4
2025-11-01T16,4,1,4
2025-11-01T17,3,2,4
2025-11-01T18,4,2,4
2025-11-01T19,4,1,4
2025-11-01T20,3,1,5
2025-11-01T21,3,1,5
2025-11-01T22,3,1,4
2025-11-01T23,3,1,5
2025-11-02T00,3,1,6
2025-11-02T01,3,0,5
2025-11-02T02,3,2,6
2025-11-02T03,3,0,9
2025-11-02T04,0,0,9
2025-11-02T05,3,0,9
2025-11-02T06,4,2,7
2025-11-02T07,4,2,6
2025-11-02T08,4,2,5
2025-11-02T09,5,2,5
2025-11-02T10,5,2,6
2025-11-02T11,5,2,5
2025-11-02T12,5,2,6
2025-11-02T13,4,1,5
2025-11-02T14,4,1,5
2025-11-02T15,4,2,4
2025-11-02T16,3,1,4
2025-11-02T17,4,2,4
2025-11-02T18,4,1,4
2025-11-02T19,4,2,4
2025-11-02T20,4,2,4
2025-11-02T21,3,1,4
2025-11-02T22,4,2,5
2025-11-02T23,3,2,6
2025-11-03T00,3,2,7
2025-11-03T01,4,2,12
2025-11-03T02,4,0,11
2025-11-03T03,5,0,9
2025-11-03T04,5,0,11
2025-11-03T05,4,0,9
2025-11-03T06,3,2,7
2025-11-03T07,6,2,6
2025-11-03T08,9,3,5
2025-11-03T09,11,3,5
2025-11-03T10,16,4,5
2025-11-03T11,15,4,5
2025-11-03T12,11,4,8
2025-11-03T13,11,3,7
2025-11-03T14,12,4,6
2025-11-03T15,11,4,6
2025-11-03T16,14,4,6
2025-11-03T17,18,3,7
2025-11-03T18,13,3,7
2025-11-03T19,8,2,6
2025-11-03T20,8,2,6
2025-11-03T21,7,2,7
2025-11-03T22,6,3,6
2025-11-03T23,6,3,6
2025-11-04T00,7,2,8
2025-11-04T01,6,2,10
2025-11-04T02,5,3,12
2025-11-04T03,5,3,28
2025-11-04T04,5,0,100
2025-11-04T05,4,2,13
2025-11-04T06,6,2,13
2025-11-04T07,8,2,12
2025-11-04T08,8,3,6
2025-11-04T09,10,4,6
2025-11-04T10,14,4,6
2025-11-04T11,13,4,5
2025-11-04T12,11,4,5
2025-11-04T13,10,3,5
2025-11-04T14,10,4,7
2025-11-04T15,12,4,9
2025-11-04T16,12,3,7
2025-11-04T17,14,3,9
2025-11-04T18,10,3,9
2025-11-04T19,8,3,7
2025-11-04T20,6,3,6
2025-11-04T21,6,3,7
2025-11-04T22,5,2,9
2025-11-04T23,5,3,9
2025-11-05T00,5,2,8
2025-11-05T01,5,2,10
2025-11-05T02,5,2,9
2025-11-05T03,5,0,10
2025-11-05T04,8,0,12
2025-11-05T05,5,1,9
2025-11-05T06,6,2,7
2025-11-05T07,6,2,9
2025-11-05T08,8,4,7
